# assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material
GCF_900083545.1	PRJNA224116	SAMEA3949864	FKYL00000000.1	na	1816676	1816676	Alistipes sp. Marseille-P2431	strain=Marseille-P2431		latest	Scaffold	Major	Full	2016/05/05	PRJEB13794	URMITE	GCA_900083545.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/083/545/GCF_900083545.1_PRJEB13794		
GCF_900091655.1	PRJNA224116	SAMEA4043117	FLSN00000000.1	representative genome	1841857	1841857	Culturomica massiliensis	strain=Marseille-P2698		latest	Scaffold	Major	Full	2016/06/24	PRJEB14541	URMITE	GCA_900091655.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/091/655/GCF_900091655.1_PRJEB14541		assembly from type material
GCF_000146835.1	PRJNA224116	SAMN00215925	AEER00000000.1	na	864566	195	Campylobacter coli JV20	strain=JV20		latest	Scaffold	Major	Full	2010/09/03	ASM14683v1	Baylor College of Medicine	GCA_000146835.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/146/835/GCF_000146835.1_ASM14683v1		
GCF_000253915.1	PRJNA224116	SAMN02428939	AINH00000000.1	na	887299	195	Campylobacter coli 202/04	strain=202/04		latest	Contig	Major	Full	2012/03/16	ASM25391v2	Cornell University	GCA_000253915.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/253/915/GCF_000253915.1_ASM25391v2		
GCF_000253955.2	PRJNA224116	SAMN02428940	AINJ00000000.1	na	887300	195	Campylobacter coli 317/04	strain=317/04		latest	Contig	Minor	Full	2012/03/16	ASM25395v3	Cornell University	GCA_000253955.3	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/253/955/GCF_000253955.2_ASM25395v3		
GCF_000253975.1	PRJNA224116	SAMN02428973	AINK00000000.1	na	887301	195	Campylobacter coli 37/05	strain=37/05		latest	Contig	Major	Full	2012/03/16	ASM25397v2	Cornell University	GCA_000253975.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/253/975/GCF_000253975.1_ASM25397v2		
GCF_000314185.1	PRJNA224116	SAMN01795765	ANGT00000000.1	na	1247734	195	Campylobacter coli BIGS0009	strain=BIGS0009		latest	Contig	Major	Full	2012/11/23	ASM31418v1	Swansea University	GCA_000314185.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/314/185/GCF_000314185.1_ASM31418v1		
GCF_000314245.1	PRJNA224116	SAMN01795768	ANGW00000000.1	na	1247737	195	Campylobacter coli BIGS0012	strain=BIGS0012		latest	Contig	Major	Full	2012/11/23	ASM31424v1	Swansea University	GCA_000314245.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/314/245/GCF_000314245.1_ASM31424v1		
GCF_000314385.1	PRJNA224116	SAMN01795903	ANHD00000000.1	na	1247742	195	Campylobacter coli BIGS0019	strain=BIGS0019		latest	Contig	Major	Full	2012/11/23	ASM31438v1	Swansea University	GCA_000314385.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/314/385/GCF_000314385.1_ASM31438v1		
GCF_000314505.1	PRJNA224116	SAMN01795909	ANHJ00000000.1	na	1248403	195	Campylobacter coli BIGS0025	strain=BIGS0025		latest	Contig	Major	Full	2012/11/23	ASM31450v1	Swansea University	GCA_000314505.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/314/505/GCF_000314505.1_ASM31450v1		
GCF_000954195.1	PRJNA224116	SAMN03381357		na	195	195	Campylobacter coli	strain=FB1		latest	Complete Genome	Major	Full	2015/03/17	ASM95419v1	University of Nottingham	GCA_000954195.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/954/195/GCF_000954195.1_ASM95419v1		
GCF_001223685.1	PRJNA224116	SAMEA1010430	CUHU00000000.1	na	195	195	Campylobacter coli	strain=OXC6263		latest	Contig	Major	Full	2015/08/03	7038_3#14	SC	GCA_001223685.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/223/685/GCF_001223685.1_7038_3_14		
GCF_001223945.1	PRJNA224116	SAMEA1010592	CUKX00000000.1	na	195	195	Campylobacter coli	strain=OXC6338		latest	Contig	Major	Full	2015/08/03	7038_3#88	SC	GCA_001223945.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/223/945/GCF_001223945.1_7038_3_88		
GCF_001224065.1	PRJNA224116	SAMEA1010408	CUOD00000000.1	na	195	195	Campylobacter coli	strain=OXC6424		latest	Contig	Major	Full	2015/08/03	7065_7#76	SC	GCA_001224065.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/224/065/GCF_001224065.1_7065_7_76		
GCF_001224645.1	PRJNA224116	SAMEA1010626	CUOY00000000.1	na	195	195	Campylobacter coli	strain=OXC6447		latest	Contig	Major	Full	2015/08/03	7092_1#1	SC	GCA_001224645.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/224/645/GCF_001224645.1_7092_1_1		
GCF_001225085.1	PRJNA224116	SAMEA1010508	CURT00000000.1	na	195	195	Campylobacter coli	strain=OXC6523		latest	Contig	Major	Full	2015/08/03	7092_1#76	SC	GCA_001225085.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/225/085/GCF_001225085.1_7092_1_76		
GCF_001225145.1	PRJNA224116	SAMEA1010647	CUQY00000000.1	na	195	195	Campylobacter coli	strain=OXC6504		latest	Scaffold	Major	Full	2015/08/03	7092_1#57	SC	GCA_001225145.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/225/145/GCF_001225145.1_7092_1_57		
GCF_001225605.1	PRJNA224116	SAMEA1010500	CURI00000000.1	na	195	195	Campylobacter coli	strain=OXC6513		latest	Contig	Major	Full	2015/08/03	7092_1#66	SC	GCA_001225605.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/225/605/GCF_001225605.1_7092_1_66		
GCF_001226185.1	PRJNA224116	SAMEA1010613	CULY00000000.1	na	195	195	Campylobacter coli	strain=OXC6372		latest	Contig	Major	Full	2015/08/03	7065_7#26	SC	GCA_001226185.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/226/185/GCF_001226185.1_7065_7_26		
GCF_001226885.1	PRJNA224116	SAMEA1010507	CUJR00000000.1	na	195	195	Campylobacter coli	strain=OXC6309		latest	Contig	Major	Full	2015/08/03	7038_3#59	SC	GCA_001226885.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/226/885/GCF_001226885.1_7038_3_59		
GCF_001226985.1	PRJNA224116	SAMEA1010667	CUMY00000000.1	na	195	195	Campylobacter coli	strain=OXC6395		latest	Contig	Major	Full	2015/08/03	7065_7#49	SC	GCA_001226985.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/226/985/GCF_001226985.1_7065_7_49		
GCF_001227865.1	PRJNA224116	SAMEA1010489	CUMN00000000.1	na	195	195	Campylobacter coli	strain=OXC6385		latest	Contig	Major	Full	2015/08/03	7065_7#39	SC	GCA_001227865.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/227/865/GCF_001227865.1_7065_7_39		
GCF_001228685.1	PRJNA224116	SAMEA1010283	CUPR00000000.1	na	195	195	Campylobacter coli	strain=OXC6474		latest	Scaffold	Major	Full	2015/08/03	7092_1#27	SC	GCA_001228685.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/228/685/GCF_001228685.1_7092_1_27		
GCF_001228705.1	PRJNA224116	SAMEA1010324	CUMC00000000.1	na	195	195	Campylobacter coli	strain=OXC6376		latest	Contig	Major	Full	2015/08/03	7065_7#30	SC	GCA_001228705.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/228/705/GCF_001228705.1_7065_7_30		
GCF_001228985.1	PRJNA224116	SAMEA1401097	CUUK00000000.1	na	195	195	Campylobacter coli	strain=OXC6597		latest	Scaffold	Major	Full	2015/08/03	7213_3#54	SC	GCA_001228985.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/228/985/GCF_001228985.1_7213_3_54		
GCF_001229345.1	PRJNA224116	SAMEA1401457	CUVQ00000000.1	na	195	195	Campylobacter coli	strain=OXC6630		latest	Contig	Major	Full	2015/08/03	7213_3#85	SC	GCA_001229345.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/229/345/GCF_001229345.1_7213_3_85		
GCF_001229385.1	PRJNA224116	SAMEA1400943	CUUO00000000.1	na	195	195	Campylobacter coli	strain=OXC6601		latest	Contig	Major	Full	2015/08/03	7213_3#58	SC	GCA_001229385.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/229/385/GCF_001229385.1_7213_3_58		
GCF_001229965.1	PRJNA224116	SAMEA1010436	CUOV00000000.1	na	195	195	Campylobacter coli	strain=OXC6442		latest	Contig	Major	Full	2015/08/03	7065_7#93	SC	GCA_001229965.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/229/965/GCF_001229965.1_7065_7_93		
GCF_001230745.1	PRJNA224116	SAMEA1010535	CUOW00000000.1	na	195	195	Campylobacter coli	strain=OXC6443		latest	Contig	Major	Full	2015/08/03	7065_7#94	SC	GCA_001230745.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/230/745/GCF_001230745.1_7065_7_94		
GCF_001230785.1	PRJNA224116	SAMEA1010590	CUJD00000000.1	na	195	195	Campylobacter coli	strain=OXC6297		latest	Contig	Major	Full	2015/08/03	7038_3#47	SC	GCA_001230785.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/230/785/GCF_001230785.1_7038_3_47		
GCF_001230805.1	PRJNA224116	SAMEA1401511	CUVK00000000.1	na	195	195	Campylobacter coli	strain=OXC6551		latest	Contig	Major	Full	2015/08/03	7213_3#8	SC	GCA_001230805.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/230/805/GCF_001230805.1_7213_3_8		
GCF_001231465.1	PRJNA224116	SAMEA1401278	CUTH00000000.1	na	195	195	Campylobacter coli	strain=OXC6568		latest	Contig	Major	Full	2015/08/03	7213_3#25	SC	GCA_001231465.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/231/465/GCF_001231465.1_7213_3_25		
GCF_001231485.1	PRJNA224116	SAMEA1010575	CUKW00000000.1	na	195	195	Campylobacter coli	strain=OXC6337		latest	Contig	Major	Full	2015/08/03	7038_3#87	SC	GCA_001231485.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/231/485/GCF_001231485.1_7038_3_87		
GCF_001231965.1	PRJNA224116	SAMEA1010674	CUMH00000000.1	na	195	195	Campylobacter coli	strain=OXC6380		latest	Contig	Major	Full	2015/08/03	7065_7#34	SC	GCA_001231965.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/231/965/GCF_001231965.1_7065_7_34		
GCF_001232025.1	PRJNA224116	SAMEA1010478	CULD00000000.1	na	195	195	Campylobacter coli	strain=OXC6343		latest	Contig	Major	Full	2015/08/03	7038_3#93	SC	GCA_001232025.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/232/025/GCF_001232025.1_7038_3_93		
GCF_001232305.1	PRJNA224116	SAMEA1401731	CUTR00000000.1	na	195	195	Campylobacter coli	strain=OXC6577		latest	Contig	Major	Full	2015/08/03	7213_3#34	SC	GCA_001232305.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/232/305/GCF_001232305.1_7213_3_34		
GCF_001232625.1	PRJNA224116	SAMEA1010254	CUPQ00000000.1	na	195	195	Campylobacter coli	strain=OXC6472		latest	Contig	Major	Full	2015/08/03	7092_1#25	SC	GCA_001232625.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/232/625/GCF_001232625.1_7092_1_25		
GCF_001232685.1	PRJNA224116	SAMEA1401627	CUTQ00000000.1	na	195	195	Campylobacter coli	strain=OXC6576		latest	Contig	Major	Full	2015/08/03	7213_3#33	SC	GCA_001232685.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/232/685/GCF_001232685.1_7213_3_33		
GCF_001233705.1	PRJNA224116	SAMEA1010417	CUOB00000000.1	na	195	195	Campylobacter coli	strain=OXC6425		latest	Contig	Major	Full	2015/08/03	7065_7#77	SC	GCA_001233705.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/233/705/GCF_001233705.1_7065_7_77		
GCF_001234005.1	PRJNA224116	SAMEA1010251	CUPO00000000.1	na	195	195	Campylobacter coli	strain=OXC6471		latest	Contig	Major	Full	2015/08/03	7092_1#24	SC	GCA_001234005.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/234/005/GCF_001234005.1_7092_1_24		
GCF_001234385.1	PRJNA224116	SAMEA1010589	CUPB00000000.1	na	195	195	Campylobacter coli	strain=OXC6460		latest	Scaffold	Major	Full	2015/08/03	7092_1#13	SC	GCA_001234385.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/234/385/GCF_001234385.1_7092_1_13		
GCF_001234805.1	PRJNA224116	SAMEA1010280	CUOH00000000.1	na	195	195	Campylobacter coli	strain=OXC6428		latest	Contig	Major	Full	2015/08/03	7065_7#80	SC	GCA_001234805.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/234/805/GCF_001234805.1_7065_7_80		
GCF_001235265.1	PRJNA224116	SAMEA1010665	CUJV00000000.1	na	195	195	Campylobacter coli	strain=OXC6312		latest	Scaffold	Major	Full	2015/08/03	7038_3#62	SC	GCA_001235265.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/235/265/GCF_001235265.1_7038_3_62		
GCF_001235285.1	PRJNA224116	SAMEA1010644	CUPT00000000.1	na	195	195	Campylobacter coli	strain=OXC6476		latest	Scaffold	Major	Full	2015/08/03	7092_1#29	SC	GCA_001235285.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/235/285/GCF_001235285.1_7092_1_29		
GCF_001235345.1	PRJNA224116	SAMEA1401680	CUUB00000000.1	na	195	195	Campylobacter coli	strain=OXC6587		latest	Contig	Major	Full	2015/08/03	7213_3#44	SC	GCA_001235345.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/235/345/GCF_001235345.1_7213_3_44		
GCF_001235605.1	PRJNA224116	SAMEA1010490	CUJQ00000000.1	na	195	195	Campylobacter coli	strain=OXC6308		latest	Contig	Major	Full	2015/08/03	7038_3#58	SC	GCA_001235605.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/235/605/GCF_001235605.1_7038_3_58		
GCF_001236025.1	PRJNA224116	SAMEA1010361	CUSJ00000000.1	na	195	195	Campylobacter coli	strain=OXC6537		latest	Contig	Major	Full	2015/08/03	7092_1#90	SC	GCA_001236025.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/236/025/GCF_001236025.1_7092_1_90		
GCF_001236625.1	PRJNA224116	SAMEA1010473	CUMP00000000.1	na	195	195	Campylobacter coli	strain=OXC6386		latest	Scaffold	Major	Full	2015/08/03	7065_7#40	SC	GCA_001236625.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/236/625/GCF_001236625.1_7065_7_40		
GCF_001236965.1	PRJNA224116	SAMEA1401126	CUSX00000000.1	na	195	195	Campylobacter coli	strain=OXC6559		latest	Scaffold	Major	Full	2015/08/03	7213_3#16	SC	GCA_001236965.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/236/965/GCF_001236965.1_7213_3_16		
GCF_001237025.1	PRJNA224116	SAMEA1010312	CUII00000000.1	na	195	195	Campylobacter coli	strain=OXC6276		latest	Contig	Major	Full	2015/08/03	7038_3#27	SC	GCA_001237025.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/237/025/GCF_001237025.1_7038_3_27		
GCF_001237165.1	PRJNA224116	SAMEA1010306	CUMG00000000.1	na	195	195	Campylobacter coli	strain=OXC6378		latest	Contig	Major	Full	2015/08/03	7065_7#32	SC	GCA_001237165.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/237/165/GCF_001237165.1_7065_7_32		
GCF_001237285.1	PRJNA224116	SAMEA1010404	CUOF00000000.1	na	195	195	Campylobacter coli	strain=OXC6426		latest	Contig	Major	Full	2015/08/03	7065_7#78	SC	GCA_001237285.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/237/285/GCF_001237285.1_7065_7_78		
GCF_001237325.1	PRJNA224116	SAMEA1010632	CUNC00000000.1	na	195	195	Campylobacter coli	strain=OXC6400		latest	Contig	Major	Full	2015/08/03	7065_7#52	SC	GCA_001237325.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/237/325/GCF_001237325.1_7065_7_52		
GCF_001237925.1	PRJNA224116	SAMEA1010373	CUHY00000000.1	na	195	195	Campylobacter coli	strain=OXC6267		latest	Contig	Major	Full	2015/08/03	7038_3#18	SC	GCA_001237925.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/237/925/GCF_001237925.1_7038_3_18		
GCF_001239065.1	PRJNA224116	SAMEA1010486	CUKZ00000000.1	na	195	195	Campylobacter coli	strain=OXC6258		latest	Contig	Major	Full	2015/08/03	7038_3#9	SC	GCA_001239065.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/239/065/GCF_001239065.1_7038_3_9		
GCF_001239125.1	PRJNA224116	SAMEA1010617	CULZ00000000.1	na	195	195	Campylobacter coli	strain=OXC6371		latest	Contig	Major	Full	2015/08/03	7065_7#25	SC	GCA_001239125.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/239/125/GCF_001239125.1_7065_7_25		
GCF_001239285.1	PRJNA224116	SAMEA1010362	CUON00000000.1	na	195	195	Campylobacter coli	strain=OXC6434		latest	Contig	Major	Full	2015/08/03	7065_7#86	SC	GCA_001239285.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/239/285/GCF_001239285.1_7065_7_86		
GCF_001239665.1	PRJNA224116	SAMEA1010547	CUIX00000000.1	na	195	195	Campylobacter coli	strain=OXC6253		latest	Contig	Major	Full	2015/08/03	7038_3#4	SC	GCA_001239665.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/239/665/GCF_001239665.1_7038_3_4		
GCF_001545295.1	PRJNA224116	SAMN03295192	JXTU00000000.1	na	195	195	Campylobacter coli	strain=SH-CCD12C136		latest	Scaffold	Major	Full	2016/02/02	ASM154529v1	China CDC	GCA_001545295.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/545/295/GCF_001545295.1_ASM154529v1		
GCF_001545425.1	PRJNA224116	SAMN04004261	LISD00000000.1	na	195	195	Campylobacter coli	strain=SH-CCD11C671		latest	Scaffold	Major	Full	2016/02/02	ASM154542v1	China CDC	GCA_001545425.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/545/425/GCF_001545425.1_ASM154542v1		
GCF_001545445.1	PRJNA224116	SAMN04004270	LISF00000000.1	na	195	195	Campylobacter coli	strain=SH-CCD12C100		latest	Scaffold	Major	Full	2016/02/02	ASM154544v1	China CDC	GCA_001545445.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/545/445/GCF_001545445.1_ASM154544v1		
GCF_002118015.1	PRJNA224116	SAMD00078612	BDRY00000000.1	na	195	195	Campylobacter coli	strain=CAM962		latest	Contig	Major	Full	2017/04/27	Ccoli_1.0	Division of Biomedical Food Research, NIHS	GCA_002118015.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/118/015/GCF_002118015.1_Ccoli_1.0		
GCF_002178515.1	PRJNA224116	SAMN06888286	NFPJ00000000.1	na	195	195	Campylobacter coli	strain=isolate_H13		latest	Contig	Major	Full	2017/06/08	ASM217851v1	Swansea University	GCA_002178515.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/178/515/GCF_002178515.1_ASM217851v1		
GCF_001699385.1	PRJNA224116	SAMN03741943	LFXE00000000.1	na	1507806	196	Campylobacter fetus subsp. testudinum	strain=D4335		latest	Contig	Major	Full	2016/08/05	ASM169938v1	Utrecht University	GCA_001699385.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/699/385/GCF_001699385.1_ASM169938v1		
GCF_001699465.1	PRJNA224116	SAMN03741934	LMBE00000000.1	na	1507806	196	Campylobacter fetus subsp. testudinum	strain=D6783		latest	Contig	Major	Full	2016/08/05	ASM169946v1	Utrecht University	GCA_001699465.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/699/465/GCF_001699465.1_ASM169946v1		
GCF_000234525.1	PRJNA224116	SAMN02470549	AGTE00000000.1	na	1093788	197	Campylobacter jejuni subsp. jejuni NW	strain=NW		latest	Scaffold	Major	Full	2011/11/08	ASM23452v1	Comparative Enteric Diseases Laboratory, Michigan State University	GCA_000234525.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/234/525/GCF_000234525.1_ASM23452v1		
GCF_000234545.1	PRJNA224116	SAMN02470551	AGTF00000000.1	na	1093789	197	Campylobacter jejuni subsp. jejuni D2600	strain=D2600		latest	Scaffold	Major	Full	2011/11/08	ASM23454v1	Comparative Enteric Diseases Laboratory, Michigan State University	GCA_000234545.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/234/545/GCF_000234545.1_ASM23454v1		
GCF_000242395.1	PRJNA224116	SAMN00113351	AEIP00000000.1	na	885274	197	Campylobacter jejuni subsp. jejuni H22082	strain=H22082		latest	Contig	Major	Full	2012/01/11	ASM24239v2	Institute of Veterinary, Animal and Biomedical Sciences,  Massey University	GCA_000242395.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/242/395/GCF_000242395.1_ASM24239v2		
GCF_000254535.1	PRJNA224116	SAMN02429011	AIOM00000000.1	na	889248	197	Campylobacter jejuni subsp. jejuni LMG 9081	strain=LMG 9081		latest	Contig	Major	Full	2012/03/16	ASM25453v2	Cornell University	GCA_000254535.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/254/535/GCF_000254535.1_ASM25453v2		
GCF_000254575.1	PRJNA224116	SAMN02428962	AIOO00000000.1	na	889249	197	Campylobacter jejuni subsp. jejuni LMG 9217	strain=LMG 9217		latest	Contig	Major	Full	2012/03/16	ASM25457v2	Cornell University	GCA_000254575.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/254/575/GCF_000254575.1_ASM25457v2		
GCF_000355825.1	PRJNA224116	SAMN02471150	APNP00000000.1	na	1295394	197	Campylobacter jejuni subsp. jejuni ICDCCJ07002	strain=ICDCCJ07002		latest	Scaffold	Major	Full	2013/04/09	ICDCCJ07002	National Institute for Communicable Disease Control and Prevention, and State Key Laboratory for Infectious Disease Prevention and Control, Chinese Center for Disease Control and Prevention	GCA_000355825.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/355/825/GCF_000355825.1_ICDCCJ07002		
GCF_000355845.1	PRJNA224116	SAMN02471149	APNQ00000000.1	na	1295400	197	Campylobacter jejuni subsp. jejuni ICDCCJ07004	strain=ICDCCJ07004		latest	Scaffold	Major	Full	2013/04/09	ICDCCJ07004	National Institute for Communicable Disease Control and Prevention, Chinese Center for Disease Control and Prevention	GCA_000355845.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/355/845/GCF_000355845.1_ICDCCJ07004		
GCF_000440015.1	PRJNA224116	SAMN02470629	ARWV00000000.1	na	1310162	197	Campylobacter jejuni BJ-CJD101	strain=BJ-CJD101		latest	Scaffold	Major	Full	2013/07/30	BJ-CJD101	National Institute for Communicable Disease Control and Prevention, Chinese Center for Disease Control and Prevention, Beijing, China.	GCA_000440015.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/440/015/GCF_000440015.1_BJ-CJD101		
GCF_000466065.2	PRJNA224116	SAMN02603725		na	1380768	197	Campylobacter jejuni subsp. jejuni 00-2538	strain=00-2538		latest	Complete Genome	Major	Full	2014/09/26	ASM46606v2	Public Health Agency of Canada	GCA_000466065.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/466/065/GCF_000466065.2_ASM46606v2		
GCF_000466075.2	PRJNA224116	SAMN02603726		na	1383068	197	Campylobacter jejuni subsp. jejuni 00-2544	strain=00-2544		latest	Complete Genome	Major	Full	2014/09/26	ASM46607v2	Public Health Agency of Canada	GCA_000466075.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/466/075/GCF_000466075.2_ASM46607v2		
GCF_000466105.2	PRJNA224116	SAMN02603724		na	1380767	197	Campylobacter jejuni subsp. jejuni 00-2426	strain=00-2426		latest	Complete Genome	Major	Full	2014/09/26	ASM46610v2	Public Health Agency of Canada	GCA_000466105.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/466/105/GCF_000466105.2_ASM46610v2		
GCF_000468915.2	PRJNA224116	SAMN02603723		na	1357994	197	Campylobacter jejuni subsp. jejuni 00-2425	strain=00-2425		latest	Complete Genome	Major	Full	2014/09/26	ASM46891v2	Public Health Agency of Canada	GCA_000468915.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/468/915/GCF_000468915.2_ASM46891v2		
GCF_000685605.1	PRJNA224116	SAMN02744568	AUUH00000000.1	na	1365655	197	Campylobacter jejuni 30286	strain=30286		latest	Contig	Major	Full	2014/05/07	Assembly 1	University of Exeter	GCA_000685605.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/685/605/GCF_000685605.1_Assembly_1		
GCF_000686225.1	PRJNA224116	SAMN02744558	AUUG00000000.1	na	1365653	197	Campylobacter jejuni 10186	strain=10186		latest	Scaffold	Major	Full	2014/05/08	Assembly 1	university of exeter	GCA_000686225.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/686/225/GCF_000686225.1_Assembly_1		
GCF_000686265.1	PRJNA224116	SAMN02744562	ARWS00000000.1	na	1324967	197	Campylobacter jejuni 255	strain=255		latest	Scaffold	Major	Full	2014/05/08	Assembly 1	University of Exeter	GCA_000686265.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/686/265/GCF_000686265.1_Assembly_1		
GCF_000686285.1	PRJNA224116	SAMN02744561	AUUI00000000.1	na	1327986	197	Campylobacter jejuni 10227	strain=10227		latest	Scaffold	Major	Full	2014/05/08	Assembly 1	university of exeter	GCA_000686285.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/686/285/GCF_000686285.1_Assembly_1		
